# This is an energyscan from ideadb.uibk.ac.at
# It shows NCO- coming from ß-Alanine (C3H7NO2)
# Creation date: May 1, 2011
# It was published in "Dissociative Electron Attachment to ß-Alanine" in ChemPhysChem in 2011
# DOI: 10.1002/cphc.201001014
# Further information: http://ideadb.uibk.ac.at/view/60
# Electron Energy	1/s
12.026360	0.005800
12.075230	0.005900
12.124130	0.005200
12.173070	0.005700
12.222050	0.005500
12.271060	0.003900
12.320110	0.004400
12.369190	0.005400
12.418310	0.003800
12.467460	0.005100
12.516650	0.005800
12.565870	0.004600
12.615130	0.005300
12.664430	0.003300
12.713760	0.004900
12.763120	0.004000
12.812520	0.004000
12.861950	0.005800
12.911420	0.003800
12.960930	0.004200
13.010470	0.003700
13.060040	0.003400
13.109660	0.006000
13.159300	0.004100
13.208980	0.006400
13.258700	0.004000
13.308450	0.005300
13.358240	0.004200
13.408060	0.003600
13.457920	0.004000
13.507810	0.003800
13.557740	0.005000
13.607700	0.005300
13.657700	0.002900
13.707730	0.004900
13.757800	0.005900
13.807910	0.003900
13.858040	0.004400
13.908220	0.005500
13.958430	0.004000
14.008670	0.004200
14.058950	0.004200
14.109270	0.005900
14.159620	0.004500
14.210010	0.004900
14.260430	0.005600
14.310880	0.004500
14.361370	0.005100
14.411900	0.005600
14.462460	0.004200
14.513060	0.004200
14.563690	0.006200
14.614360	0.004200
14.665060	0.004300
14.715800	0.004300
14.766570	0.005400
14.817380	0.004200
14.868230	0.004700
14.919110	0.005400
14.970020	0.006400
15.020970	0.004800
15.071950	0.005100
15.122970	0.004700
15.174030	0.004800
15.225120	0.004100
15.276240	0.004200
15.327410	0.004000
15.378600	0.005400
15.429830	0.004000
15.481100	0.003400
15.532400	0.005900
15.583740	0.006300
15.635110	0.004700
15.686520	0.004800
15.737960	0.005000
15.789440	0.004700
15.840950	0.004600
15.892500	0.004600
15.944080	0.004600
15.995700	0.004000
16.047360	0.004800
16.099050	0.004100
16.150770	0.005700
16.202530	0.004400
16.254320	0.005600
16.306160	0.004200
16.358020	0.006000
16.409920	0.005500
16.461860	0.003600
16.513830	0.005500
16.565830	0.006200
16.617880	0.007100
16.669950	0.004000
16.722060	0.004800
16.774210	0.005500
16.826390	0.004900
16.878610	0.005200
16.930870	0.005800
16.983150	0.005100
17.035480	0.005100
