# This is an energyscan from ideadb.uibk.ac.at
# It shows C2H4N- coming from ß-Alanine (C3H7NO2)
# Creation date: May 1, 2011
# It was published in "Dissociative Electron Attachment to ß-Alanine" in ChemPhysChem in 2011
# DOI: 10.1002/cphc.201001014
# Further information: http://ideadb.uibk.ac.at/view/61
# Electron Energy	1/s
11.977520	0.033600
12.026360	0.029500
12.075230	0.030900
12.124130	0.025000
12.173070	0.028200
12.222050	0.029200
12.271060	0.026300
12.320110	0.023200
12.369190	0.025100
12.418310	0.023900
12.467460	0.024900
12.516650	0.022300
12.565870	0.019000
12.615130	0.020900
12.664430	0.021100
12.713760	0.021800
12.763120	0.019100
12.812520	0.020100
12.861950	0.020400
12.911420	0.017400
12.960930	0.014800
13.010470	0.016600
13.060040	0.018100
13.109660	0.016600
13.159300	0.017300
13.208980	0.012600
13.258700	0.013000
13.308450	0.013100
13.358240	0.011800
13.408060	0.013000
13.457920	0.010400
13.507810	0.012300
13.557740	0.014800
13.607700	0.012600
13.657700	0.012400
13.707730	0.012100
13.757800	0.012400
13.807910	0.010000
13.858040	0.010600
13.908220	0.010900
13.958430	0.010100
14.008670	0.009000
14.058950	0.010100
14.109270	0.009500
14.159620	0.008200
14.210010	0.009800
14.260430	0.010100
14.310880	0.007700
14.361370	0.009500
14.411900	0.009400
14.462460	0.008900
14.513060	0.005900
14.563690	0.007300
14.614360	0.009700
14.665060	0.007600
14.715800	0.008500
14.766570	0.007300
14.817380	0.007300
14.868230	0.007400
14.919110	0.006200
14.970020	0.005300
15.020970	0.005800
15.071950	0.006000
15.122970	0.006400
15.174030	0.005500
15.225120	0.007800
15.276240	0.006400
15.327410	0.004400
15.378600	0.005600
15.429830	0.006800
15.481100	0.004300
15.532400	0.005600
15.583740	0.006000
15.635110	0.006400
15.686520	0.004000
15.737960	0.004900
15.789440	0.005700
15.840950	0.005800
15.892500	0.005800
15.944080	0.006000
15.995700	0.005600
16.047360	0.004900
16.099050	0.004100
16.150770	0.005000
16.202530	0.005100
16.254320	0.002700
16.306160	0.004700
16.358020	0.005100
16.409920	0.003200
16.461860	0.004400
16.513830	0.004200
16.565830	0.003400
16.617880	0.004500
16.669950	0.003200
16.722060	0.003600
16.774210	0.004400
16.826390	0.005100
16.878610	0.003300
16.930870	0.002000
16.983150	0.002400
17.035480	0.003900
