#ELEN started at 31-Aug-2012 17:09:11 by	
#Electron Energy: 	T=10.0; P=0.0e+000; M=110; R=50
-0.5	0
-0.49	0.0125
-0.48	0
-0.47	0.025
-0.46	0.0125
-0.45	0
-0.44	0
-0.43	0
-0.42	0.0125
-0.41	0
-0.4	0.0125
-0.39	0.0125
-0.38	0.025
-0.37	0
-0.36	0.0125
-0.35	0
-0.34	0.0375
-0.33	0.025
-0.32	0
-0.31	0.025
-0.3	0.0125
-0.29	0.0125
-0.28	0.05
-0.27	0.025
-0.26	0
-0.25	0.0125
-0.24	0.05
-0.23	0.0375
-0.22	0.025
-0.21	0.025
-0.2	0.0125
-0.19	0.0625
-0.18	0.0625
-0.17	0.025
-0.16	0.075
-0.15	0.1
-0.14	0.1
-0.13	0.125
-0.12	0.1625
-0.11	0.125
-0.1	0.1625
-0.09	0.175
-0.08	0.2875
-0.07	0.2625
-0.06	0.2875
-0.05	0.3125
-0.04	0.7125
-0.03	0.5875
-0.02	0.9
-0.01	1.6
0	1.3125
0.01	1.9375
0.02	2.2375
0.03	2.375
0.04	3.0125
0.05	2.95
0.06	2.8875
0.07	2.7875
0.08	2.1125
0.09	2.725
0.1	2.175
0.11	2.05
0.12	1.7375
0.13	2.0375
0.14	1.9875
0.15	1.8375
0.16	1.4
0.17	1.3875
0.18	1.6
0.19	1.5125
0.2	1.55
0.21	1.25
0.22	1.325
0.23	1.5
0.24	1.3375
0.25	1.2875
0.26	1.225
0.27	1.1875
0.28	1.0875
0.29	1.1125
0.3	1.275
0.31	1.1875
0.32	0.9
0.33	1.0625
0.34	0.825
0.35	1.1625
0.36	0.95
0.37	0.925
0.38	1.0375
0.39	1.0375
0.4	1.075
0.41	0.7375
0.42	1.025
0.43	0.675
0.44	0.875
0.45	0.8125
0.46	0.6875
0.47	0.725
0.48	0.6375
0.49	0.725
0.5	0.5625
0.51	0.7125
0.52	0.625
0.53	0.4875
0.54	0.5875
0.55	0.7
0.56	0.4125
0.57	0.5375
0.58	0.6625
0.59	0.4625
0.6	0.5
0.61	0.4125
0.62	0.65
0.63	0.3
0.64	0.5375
0.65	0.5
0.66	0.4875
0.67	0.5
0.68	0.475
0.69	0.5875
0.7	0.4125
0.71	0.3625
0.72	0.2625
0.73	0.3625
0.74	0.3125
0.75	0.275
0.76	0.275
0.77	0.425
0.78	0.35
0.79	0.3
0.8	0.2875
0.81	0.3875
0.82	0.3875
0.83	0.3375
0.84	0.375
0.85	0.3625
0.86	0.2
0.87	0.2625
0.88	0.3125
0.89	0.3
0.9	0.4
0.91	0.325
0.92	0.35
0.93	0.35
0.94	0.2875
0.95	0.2
0.96	0.375
0.97	0.2375
0.98	0.3875
0.99	0.225
1	0.225
1.01	1
1.02	0.275
1.03	0.2
1.04	0.275
1.05	0.2875
1.06	0.25
1.07	0.2125
1.08	0.2125
1.09	0.2
1.1	0.2
1.11	0.25
1.12	0.2125
1.13	0.2
1.14	0.2
1.15	0.225
1.16	0.2125
1.17	0.275
1.18	0.325
1.19	0.225
1.2	0.1625
1.21	0.2125
1.22	0.1875
1.23	0.25
1.24	0.2375
1.25	0.2625
1.26	0.35
1.27	0.2375
1.28	0.125
1.29	0.275
1.3	0.35
1.31	0.2
1.32	0.3125
1.33	0.1625
1.34	0.4375
1.35	0.8875
1.36	0.9
1.37	0.2375
1.38	0.1625
1.39	0.175
1.4	0.1625
1.41	0.1625
1.42	0.175
1.43	0.1875
1.44	0.1375
1.45	0.225
1.46	0.2
1.47	0.225
1.48	0.15
1.49	0.1375
1.5	0.125
1.51	0.1875
1.52	0.1125
1.53	0.225
1.54	0.1625
1.55	0.175
1.56	0.2125
1.57	0.1
1.58	0.1
1.59	0.175
1.6	0.1625
1.61	0.175
1.62	0.125
1.63	0.1125
1.64	0.1125
1.65	0.15
1.66	0.1625
1.67	0.1375
1.68	0.175
1.69	0.075
1.7	0.1125
1.71	0.1
1.72	0.0625
1.73	0.075
1.74	0.125
1.75	0.1
1.76	0.1125
1.77	0.0875
1.78	0.0875
1.79	0.1
1.8	0.1
1.81	0.0875
1.82	0.175
1.83	0.1375
1.84	0.1125
1.85	0.175
1.86	0.075
1.87	0.0875
1.88	0.0875
1.89	0.1125
1.9	0.1125
1.91	0.175
1.92	0.1125
1.93	0.15
1.94	0.15
1.95	0.0375
1.96	0.1
1.97	0.075
1.98	0.1
1.99	0.0625
2	0.0875
2.01	0.1125
2.02	0.1125
2.03	0.15
2.04	0.1375
2.05	0.025
2.06	0.1375
2.07	0.1
2.08	0.1375
2.09	0.0625
2.1	0.0375
2.11	0.0875
2.12	0.1
2.13	0.1375
2.14	0.1
2.15	0.0875
2.16	0.05
2.17	0.1
2.18	0.15
2.19	0.0875
2.2	0.0625
2.21	0.075
2.22	0.125
2.23	0.0875
2.24	0.0625
2.25	0.1375
2.26	0.05
2.27	0.1
2.28	0.1
2.29	0.0625
2.3	0.0375
2.31	0.1
2.32	0.1375
2.33	0.0875
2.34	0.125
2.35	0.075
2.36	0.0875
2.37	0.075
2.38	0.05
2.39	0.0125
2.4	0.0875
2.41	0.0625
2.42	0.0625
2.43	0.1
2.44	0.05
2.45	0.1
2.46	0.075
2.47	0.0625
2.48	0.0875
2.49	0.1375
2.5	0.0625
2.51	0.075
2.52	0.05
2.53	0.0625
2.54	0.075
2.55	0.075
2.56	0.075
2.57	0.05
2.58	0.05
2.59	0.0875
2.6	0.0875
2.61	0.0375
2.62	0.075
2.63	0.05
2.64	0.0625
2.65	0.1
2.66	0.075
2.67	0.05
2.68	0.05
2.69	0.0125
2.7	0.0875
2.71	0.0875
2.72	0.075
2.73	0.0875
2.74	0.0625
2.75	0.0875
2.76	0.0875
2.77	0.025
2.78	0.0375
2.79	0.0375
2.8	0.1
2.81	0.05
2.82	0.125
2.83	0.075
2.84	0.05
2.85	0.0625
2.86	0.075
2.87	0.0875
2.88	0.025
2.89	0.0375
2.9	0.05
2.91	0.0375
2.92	0.075
2.93	0.0875
2.94	0.1125
2.95	0.0125
2.96	0.05
2.97	0.0625
2.98	0.025
2.99	0.0875
3	0.0125
3.01	0.075
3.02	0.0625
3.03	0.0375
3.04	0.0875
3.05	0.0625
3.06	0.0375
3.07	0.075
3.08	0.075
3.09	0.05
3.1	0.1125
3.11	0.0375
3.12	0.0375
3.13	0.075
3.14	0.05
3.15	0.025
3.16	0.025
3.17	0.0625
3.18	0.0375
3.19	0.05
3.2	0.0375
3.21	0.025
3.22	0.0625
3.23	0.075
3.24	0.075
3.25	0.075
3.26	0.025
3.27	0.05
3.28	0.05
3.29	0.0625
3.3	0.05
3.31	0.05
3.32	0.0125
3.33	0.05
3.34	0.0375
3.35	0.0625
3.36	0.0875
3.37	0.0375
3.38	0.075
3.39	0.075
3.4	0.0125
3.41	0.025
3.42	0.05
3.43	0.1375
3.44	0.075
3.45	0.05
3.46	0.075
3.47	0.025
3.48	0.0875
3.49	0.025
3.5	0.05
3.51	0.1
3.52	0.0875
3.53	0.075
3.54	0.0375
3.55	0.025
3.56	0.0875
3.57	0.0875
3.58	0.0625
3.59	0.0375
3.6	0.05
3.61	0.05
3.62	0.0625
3.63	0.025
3.64	0.1125
3.65	0.0375
3.66	0.1
3.67	0.025
3.68	0.0625
3.69	0.025
3.7	0.025
3.71	0.125
3.72	0.0375
3.73	0.0375
3.74	0.1
3.75	0.075
3.76	0.05
3.77	0.075
3.78	0.05
3.79	0.0375
